acl	2.3.1-3
libchafa0	1.12.4-1+b1
libchewing3	0.5.1-5
libchewing3-data	0.5.1-5
libchromaprint1	1.5.1-2+b1
libcjson1	1.7.15-1+deb12u2
libclone-perl	0.46-1
libcloudproviders0	0.3.1-2
libclucene-contribs1v5	2.3.3.4+dfsg-1.1
libclucene-core1v5	2.3.3.4+dfsg-1.1
libcodec2-1.0	1.0.5-1
libcolamd2	1:5.12.0+dfsg-2
libcolord2	1.4.6-2.2
libcolorhug2	1.4.6-2.2
libcom-err2	1.47.0-2
libcrypt-dev	1:4.4.33-2
libcrypt1	1:4.4.33-2
libcryptsetup12	2:2.6.1-4~deb12u2
libctf-nobfd0	2.40-2
libctf0	2.40-2
libcups2	2.4.2-3+deb12u8
libcupsfilters1	1.28.17-3+deb12u1
libcurl3-gnutls	7.88.1-10+deb12u12
libcurl4	7.88.1-10+deb12u12
libdaemon0	0.14-7.1
libdata-dump-perl	1.25-1
libdatrie1	0.2.13-2+b1
libdav1d6	1.0.0-2+deb12u1
libdb5.3	5.3.28+dfsg2-1
libdbus-1-3	1.14.10-1~deb12u1
libdbus-glib-1-2	0.112-3
libdbusmenu-glib4	18.10.20180917~bzr492+repack1-3
libdbusmenu-gtk3-4	18.10.20180917~bzr492+repack1-3
libdbusmenu-qt5-2	0.9.3+16.04.20160218-2+b1
libdc1394-25	2.2.6-4
libdca0	0.0.7-2
libdconf1	0.40.0-4
libde265-0	1.0.11-1+deb12u2
libdebconfclient0	0.270
libdecor-0-0	0.1.1-2
libdecor-0-plugin-1-cairo	0.1.1-2
libdeflate0	1.14-1
libdevmapper1.02.1	2:1.02.185-2
libdirectfb-1.7-7	1.7.7-11
libdjvulibre-text	3.5.28-2
libdjvulibre21	3.5.28-2+b1
libdmtx0b	0.7.7-1
libdotconf0	1.3-0.3
libdouble-conversion3	3.2.1-1
libdpkg-perl	1.21.22
libdrm-amdgpu1	2.4.114-1+b1
libdrm-common	2.4.114-1
libdrm-intel1	2.4.114-1+b1
libdrm-nouveau2	2.4.114-1+b1
libdrm-radeon1	2.4.114-1+b1
libdrm2	2.4.114-1+b1
libduktape207	2.7.0-2
libdv4	1.0.0-15
libdvbpsi10	1.3.3-1
libdvdnav4	6.1.1-1
libdvdread8	6.1.3-1
libdw1	0.188-2.1
libe-book-0.1-1	0.1.3-2+b2
libeb16	4.4.3-14
libebml5	1.4.4-1+deb12u1
libedit2	3.1-20221030-2
libefiboot1	37-6
libefivar1	37-6
libegl-mesa0	22.3.6-1+deb12u1
libegl1	1.6.0-1
libelf1	0.188-2.1
libenchant-2-2	2.3.3-2
libenchant-2-voikko	2.3.3-2
libencode-locale-perl	1.05-3
libeot0	0.01-5+b1
libepoxy0	1.5.10-1
libept1.6.0	1.2.1
libepub0	0.2.2-6
libepubgen-0.1-1	0.1.1-1
libespeak-ng1	1.51+dfsg-10+deb12u2
libetonyek-0.1-1	0.1.10-3+b1
libevdev2	1.13.0+dfsg-1
libevent-2.1-7	2.1.12-stable-8
libexif12	0.6.24-1+b1
libexiv2-27	0.27.6-1
libexo-2-0	4.18.0-1
libexo-common	4.18.0-1
libexpat1	2.5.0-1+deb12u1
libext2fs2	1.47.0-2
libexttextcat-2.0-0	3.4.5-1
libexttextcat-data	3.4.5-1
libextutils-depends-perl	0.8001-2
libfaad2	2.10.1-1
libfakekey0	0.3+git20170516-2
libfakeroot	1.31-1.2
libfcitx-config4	1:4.2.9.9-1
libfcitx-core0	1:4.2.9.9-1
libfcitx-gclient1	1:4.2.9.9-1
libfcitx-qt5-1	1.2.7-2+b7
libfcitx-qt5-data	1.2.7-2
libfcitx-utils0	1:4.2.9.9-1
libfcitx5-qt-data	5.0.16-1
libfcitx5-qt1	5.0.16-1+b3
libfcitx5config6	5.0.21-3
libfcitx5core7	5.0.21-3
libfcitx5utils2	5.0.21-3
libfdisk1	2.38.1-5+deb12u3
libffi8	3.4.4-1
libfftw3-double3	3.3.10-1
libfftw3-single3	3.3.10-1
libfido2-1	1.12.0-2+b1
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4+b1
libfile-listing-perl	6.15-1
libfile-mimeinfo-perl	0.33-1
libflac12	1.4.2+ds-2
libflite1	2.2-5
libfluidsynth3	2.3.1-2
libfm-data	1.3.2-1
libfm-extra4	1.3.2-1
libfm-gtk-data	1.3.2-1
libfm-gtk4	1.3.2-1
libfm-modules	1.3.2-1
libfm4	1.3.2-1
libfont-afm-perl	1.20-4
libfontconfig1	2.14.1-4
libfontembed1	1.28.17-3+deb12u1
libfontenc1	1:1.1.4-1
libfreeaptx0	0.1.1-2
libfreehand-0.1-1	0.1.2-3
libfreetype6	2.12.1+dfsg-5+deb12u3
libfribidi0	1.0.8-2.1
libfstrm0	0.6.1-1
libfuse2	2.9.9-6+b1
libfuse3-3	3.14.0-4
libgail-common	2.24.33-2+deb12u1
libgail18	2.24.33-2+deb12u1
libgarcon-1-0	4.18.0-1
libgarcon-common	4.18.0-1
libgarcon-gtk3-1-0	4.18.0-1
libgav1-1	0.18.0-1+b1
libgbm1	22.3.6-1+deb12u1
libgcc-12-dev	12.2.0-14
libgcc-s1	12.2.0-14
libgck-1-0	3.41.1-1+b1
libgcr-base-3-1	3.41.1-1+b1
libgcr-ui-3-1	3.41.1-1+b1
libgcroots0	0.9.1-2
libgcrypt20	1.10.1-3
libgd3	2.3.3-9
libgdata-common	0.18.1-2
libgdata22	0.18.1-2
libgdbm-compat4	1.23-3
libgdbm6	1.23-3
libgdk-pixbuf-2.0-0	2.42.10+dfsg-1+deb12u1
libgdk-pixbuf2.0-bin	2.42.10+dfsg-1+deb12u1
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u1
libgfortran5	12.2.0-14
libgif7	5.2.1-2.5
libgirepository-1.0-1	1.74.0-3
libgl1	1.6.0-1
libgl1-mesa-dri	22.3.6-1+deb12u1
libglapi-mesa	22.3.6-1+deb12u1
libgles2	1.6.0-1
libglib-object-introspection-perl	0.049-3
libglib-perl	3:1.329.3-2+b2
libglib2.0-0	2.74.6-2+deb12u5
libglib2.0-bin	2.74.6-2+deb12u5
libglib2.0-data	2.74.6-2+deb12u5
libglibmm-2.4-1v5	2.66.5-2
libglu1-mesa	9.0.2-1.1
libglvnd0	1.6.0-1
libglx-mesa0	22.3.6-1+deb12u1
libglx0	1.6.0-1
libgme0	0.6.3-6
libgmp10	2:6.2.1+dfsg1-1.1
libgnomekbd-common	3.28.1-1
libgnomekbd8	3.28.1-1
libgnutls-dane0	3.7.9-2+deb12u4
libgnutls30	3.7.9-2+deb12u4
libgoa-1.0-0b	3.46.0-1
libgoa-1.0-common	3.46.0-1
libgomp1	12.2.0-14
libgpg-error0	1.46-1
libgpgme11	1.18.0-3+b1
libgpgmepp6	1.18.0-3+b1
libgphoto2-6	2.5.30-1
libgphoto2-l10n	2.5.30-1
libgphoto2-port12	2.5.30-1
libgpm2	1.20.7-10+b1
libgprofng0	2.40-2
libgraphene-1.0-0	1.10.8-1
libgraphite2-3	1.3.14-1
libgs-common	10.0.0~dfsg-11+deb12u6
libgs10	10.0.0~dfsg-11+deb12u6
libgs10-common	10.0.0~dfsg-11+deb12u6
libgsm1	1.0.22-1
libgssapi-krb5-2	1.20.1-2+deb12u2
libgssdp-1.6-0	1.6.2-2
libgstreamer-gl1.0-0	1.22.0-3+deb12u4
libgstreamer-plugins-bad1.0-0	1.22.0-4+deb12u5
libgstreamer-plugins-base1.0-0	1.22.0-3+deb12u4
libgstreamer1.0-0	1.22.0-2+deb12u1
libgtk-3-0	3.24.38-2~deb12u3
libgtk-3-bin	3.24.38-2~deb12u3
libgtk-3-common	3.24.38-2~deb12u3
libgtk-4-1	4.8.3+ds-2+deb12u1
libgtk-4-bin	4.8.3+ds-2+deb12u1
libgtk-4-common	4.8.3+ds-2+deb12u1
libgtk2.0-0	2.24.33-2+deb12u1
libgtk2.0-bin	2.24.33-2+deb12u1
libgtk2.0-common	2.24.33-2+deb12u1
libgtk3-perl	0.038-3
libgtkmm-3.0-1v5	3.24.7-1
libgudev-1.0-0	237-2
libgupnp-1.6-0	1.6.3-1
libgupnp-igd-1.0-4	1.2.0-3
libgusb2	0.3.10-1
libhandy-1-0	1.8.1-1
libhangul-data	0.1.0+git20191003-2
libhangul1	0.1.0+git20191003-2
libharfbuzz-icu0	6.0.0+dfsg-3
libharfbuzz-subset0	6.0.0+dfsg-3
libharfbuzz0b	6.0.0+dfsg-3
libheif1	1.15.1-1+deb12u1
libhfstospell11	0.5.3-1+b2
libhogweed6	3.8.1-2
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl	3.81-1
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.10-1
libhttp-daemon-perl	6.16-1
libhttp-date-perl	6.05-2
libhttp-message-perl	6.44-1
libhttp-negotiate-perl	6.01-2
libhunspell-1.7-0	1.7.1-1
libhwy1	1.0.3-3+deb12u1
libhyphen0	2.8.8-7
libi2c0	4.3-2+b3
libibus-1.0-5	1.5.27-5
libice6	2:1.0.10-1
libicu72	72.1-3
libid3tag0	0.15.1b-14
libidn12	1.41-1
libidn2-0	2.3.3-1+b1
libiec61883-0	1.2.0-6+b1
libieee1284-3	0.2.11-14
libigdgmm12	22.3.3+ds1-1
libijs-0.35	0.35-15
libimath-3-1-29	3.1.6-1
libime-data	1.0.16-1
libime-data-language-model	1.0.16-1
libimecore0	1.0.16-1
libimepinyin0	1.0.16-1
libimetable0	1.0.16-1
libimlib2	1.10.0-4+deb12u1
libimobiledevice6	1.3.0-6+b3
libindi-data	1.9.9+dfsg-2
libindidriver1	1.9.9+dfsg-2+b1
libinih1	55-1
libinput-bin	1.22.1-1
libinput10	1.22.1-1
libinstpatch-1.0-2	1.1.6-1
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.081-2
libio-stringy-perl	2.111-3
libip4tc2	1.8.9-2
libipc-system-simple-perl	1.30-2
libisl23	0.25-1.1
libitm1	12.2.0-14
libiw30	30~pre9-14
libixml10	1:1.8.4-2
libjack-jackd2-0	1.9.21~dfsg-3
libjansson4	2.14-2
libjavascriptcoregtk-4.1-0	2.46.6-1~deb12u1
libjbig0	2.1-6.1
libjbig2dec0	0.19-3
libjemalloc2	5.3.0-1
libjim0.81	0.81+dfsg0-2
libjpeg62-turbo	1:2.1.5-2
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjson-c5	0.16-2
libjson-glib-1.0-0	1.6.6-1
libjson-glib-1.0-common	1.6.6-1
libjxl0.7	0.7.0-10
libjxr-tools	1.2~git20170615.f752187-5
libjxr0	1.2~git20170615.f752187-5
libk5crypto3	1.20.1-2+deb12u2
libkaccounts2	4:22.12.3-1
libkate1	0.4.1-11
libkcolorpicker0	0.2.0-1
libkdsoap1	1.9.1+dfsg-5
libkeyutils1	1.6.3-2
libkf5activities5	5.103.0-1
libkf5activitiesstats1	5.103.0-1
libkf5archive-data	5.103.0-1
libkf5archive5	5.103.0-1
libkf5attica5	5.103.0-1
libkf5auth-data	5.103.0-1
libkf5auth5	5.103.0-1
libkf5authcore5	5.103.0-1
libkf5baloo5	5.103.0-2
libkf5balooengine5	5.103.0-2
libkf5bluezqt-data	5.103.0-1
libkf5bluezqt6	5.103.0-1
libkf5bookmarks-data	5.103.0-1
libkf5bookmarks5	5.103.0-1
libkf5calendarevents5	5.103.0-1
libkf5codecs-data	5.103.0-1
libkf5codecs5	5.103.0-1
libkf5completion-data	5.103.0-1
libkf5completion5	5.103.0-1
libkf5config-bin	5.103.0-2
libkf5config-data	5.103.0-2
libkf5configcore5	5.103.0-2
libkf5configgui5	5.103.0-2
libkf5configwidgets-data	5.103.0-1
libkf5configwidgets5	5.103.0-1
libkf5contacts-data	5:5.103.0-1
libkf5contacts5	5:5.103.0-1
libkf5coreaddons-data	5.103.0-1
libkf5coreaddons5	5.103.0-1
libkf5crash5	5.103.0-1
libkf5dbusaddons-bin	5.103.0-1
libkf5dbusaddons-data	5.103.0-1
libkf5dbusaddons5	5.103.0-1
libkf5declarative-data	5.103.0-1
libkf5declarative5	5.103.0-1
libkf5dnssd-data	5.103.0-1
libkf5dnssd5	5.103.0-1
libkf5doctools5	5.103.0-1
libkf5filemetadata-bin	5.103.0-1
libkf5filemetadata-data	5.103.0-1
libkf5filemetadata3	5.103.0-1
libkf5globalaccel-bin	5.103.0-1
libkf5globalaccel-data	5.103.0-1
libkf5globalaccel5	5.103.0-1
libkf5globalaccelprivate5	5.103.0-1
libkf5guiaddons-bin	5.103.0-1
libkf5guiaddons-data	5.103.0-1
libkf5guiaddons5	5.103.0-1
libkf5i18n-data	5.103.0-1
libkf5i18n5	5.103.0-1
libkf5i18nlocaledata5	5.103.0-1
libkf5iconthemes-bin	5.103.0-1
libkf5iconthemes-data	5.103.0-1
libkf5iconthemes5	5.103.0-1
libkf5itemmodels5	5.103.0-1
libkf5itemviews-data	5.103.0-1
libkf5itemviews5	5.103.0-1
libkf5jobwidgets-data	5.103.0-1
libkf5jobwidgets5	5.103.0-1
libkf5js5	5.103.0-1
libkf5jsapi5	5.103.0-1
libkf5kcmutils-bin	5.103.0-3
libkf5kcmutils-data	5.103.0-3
libkf5kcmutils5	5.103.0-3
libkf5kcmutilscore5	5.103.0-3
libkf5kdcraw5	22.12.3-1
libkf5kexiv2-15.0.0	22.12.3-1
libkf5kiocore5	5.103.0-1+deb12u1
libkf5kiofilewidgets5	5.103.0-1+deb12u1
libkf5kiogui5	5.103.0-1+deb12u1
libkf5kiontlm5	5.103.0-1+deb12u1
libkf5kiowidgets5	5.103.0-1+deb12u1
libkf5kirigami2-5	5.103.0-1
libkf5newstuffcore5	5.103.0-1
libkf5notifications-data	5.103.0-1
libkf5notifications5	5.103.0-1
libkf5package-data	5.103.0-1
libkf5package5	5.103.0-1
libkf5parts-data	5.103.0-1
libkf5parts-plugins	5.103.0-1
libkf5parts5	5.103.0-1
libkf5people-data	5.103.0-1
libkf5people5	5.103.0-1
libkf5peoplebackend5	5.103.0-1
libkf5peoplewidgets5	5.103.0-1
libkf5plasma5	5.103.0-1+deb12u1
libkf5plasmaquick5	5.103.0-1+deb12u1
libkf5prison5	5.103.0-1
libkf5prisonscanner5	5.103.0-1
libkf5pty-data	5.103.0-1
libkf5pty5	5.103.0-1
libkf5pulseaudioqt3	1.3-2+b1
libkf5purpose-bin	5.103.0-1
libkf5purpose5	5.103.0-1
libkf5quickaddons5	5.103.0-1
libkf5runner5	5.103.0-1
libkf5service-bin	5.103.0-1
libkf5service-data	5.103.0-1
libkf5service5	5.103.0-1
libkf5solid5	5.103.0-1
libkf5solid5-data	5.103.0-1
libkf5sonnet5-data	5.103.0-1
libkf5sonnetcore5	5.103.0-1
libkf5sonnetui5	5.103.0-1
libkf5syndication5abi1	1:5.103.0-1
libkf5syntaxhighlighting-data	5.103.0-3
libkf5syntaxhighlighting5	5.103.0-3
libkf5textwidgets-data	5.103.0-1
libkf5textwidgets5	5.103.0-1
libkf5threadweaver5	5.103.0-1
libkf5wallet-bin	5.103.0-1
libkf5wallet-data	5.103.0-1
libkf5wallet5	5.103.0-1
libkf5waylandclient5	4:5.103.0-1
libkf5widgetsaddons-data	5.103.0-1
libkf5widgetsaddons5	5.103.0-1
libkf5windowsystem-data	5.103.0-1
libkf5windowsystem5	5.103.0-1
libkf5xmlgui-bin	5.103.0-1
libkf5xmlgui-data	5.103.0-1
libkf5xmlgui5	5.103.0-1
libkimageannotator-common	0.6.0-1
libkimageannotator0	0.6.0-1
libklibc	2.0.12-1
libkmod2	30+20221128-1
libkrb5-3	1.20.1-2+deb12u2
libkrb5support0	1.20.1-2+deb12u2
libksba8	1.6.3-2
libkwalletbackend5-5	5.103.0-1
libkworkspace5-5	4:5.27.5-2+deb12u2
liblangtag-common	0.6.4-2
liblangtag1	0.6.4-2
liblapack3	3.11.0-2
liblcms2-2	2.14-2
libldacbt-enc2	2.0.2.3+git20200429+ed310a0-4
libldap-2.5-0	2.5.13+dfsg-5
libldap-common	2.5.13+dfsg-5
libldb2	2:2.6.2+samba4.17.12+dfsg-0+deb12u1
liblerc4	4.0.0+ds-2
liblightdm-gobject-1-0	1.26.0-8
liblilv-0-0	0.24.14-1
liblirc-client0	0.10.1-7.2
libllvm15	1:15.0.6-4+b1
liblmdb0	0.9.24-1
liblocale-gettext-perl	1.07-5
liblockfile-bin	1.17-1+b1
liblockfile1	1.17-1+b1
liblouis-data	3.24.0-1
liblouis20	3.24.0-1
liblouisutdml-bin	2.11.0-2
liblouisutdml-data	2.11.0-2
liblouisutdml9	2.11.0-2
liblqr-1-0	0.4.2-2.1
liblrdf0	0.6.1-4
liblsan0	12.2.0-14
libltc11	1.3.2-1
libltdl7	2.4.7-7~deb12u1
liblua5.2-0	5.2.4-3
liblua5.3-0	5.3.6-2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.10-1
liblz4-1	1.9.4-1
liblzma5	5.4.1-0.2
liblzo2-2	2.10-2
libm17n-0	1.8.0-6
libmad0	0.15.1b-10.1+b1
libmagic-mgc	1:5.44-3
libmagic1	1:5.44-3
libmagickcore-6.q16-6	8:6.9.11.60+dfsg-1.6+deb12u2
libmagickcore-6.q16-6-extra	8:6.9.11.60+dfsg-1.6+deb12u2
libmagickwand-6.q16-6	8:6.9.11.60+dfsg-1.6+deb12u2
libmailtools-perl	2.21-2
libmanette-0.2-0	0.2.6-3+b1
libmarisa0	0.2.6-13+b1
libmatroska7	1.7.1-1
libmaxminddb0	1.7.1-1
libmbedcrypto7	2.28.3-1
libmbim-glib4	1.28.2-1
libmbim-proxy	1.28.2-1
libmbim-utils	1.28.2-1
libmd0	1.0.4-2
libmd4c0	0.4.8-1
libmenu-cache-bin	1.1.0-1.1
libmenu-cache3	1.1.0-1.1
libmfx1	22.5.4-1
libmhash2	0.9.9.9-9
libminizip1	1.1-8+deb12u1
libmjpegutils-2.1-0	1:2.1.0+debian-7
libmm-glib0	1.20.4-1
libmng1	1.0.10+dfsg-3.1+b5
libmnl0	1.0.4-3
libmodplug1	1:0.8.9.0-3
libmount1	2.38.1-5+deb12u3
libmp3lame0	3.100-6
libmpc3	1.3.1-1
libmpcdec6	2:0.1~r495-2
libmpeg2-4	0.5.1-9
libmpeg2encpp-2.1-0	1:2.1.0+debian-7
libmpfr6	4.2.0-1
libmpg123-0	1.31.2-1+deb12u1
libmplex2-2.1-0	1:2.1.0+debian-7
libmspub-0.1-1	0.1.4-3+b3
libmtdev1	1.1.6-1
libmtp-common	1.1.20-1
libmtp-runtime	1.1.20-1
libmtp9	1.1.20-1
libmwaw-0.3-3	0.3.21-1
libmysofa1	1.3.1~dfsg0-1
libmythes-1.2-0	2:1.2.5-1
libncurses6	6.4-4
libncursesw6	6.4-4
libndp0	1.8-1+deb12u1
libneon27	0.32.5-1
libnet-dbus-perl	1.2.0-2
libnet-http-perl	6.22-1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl	1.92-2+b1
libnetfilter-conntrack3	1.0.9-3
libnetpbm11	2:11.01.00-2
libnettle8	3.8.1-2
libnewt0.52	0.52.23-1+b1
libnfnetlink0	1.0.2-2
libnfs13	4.0.0-1
libnftables1	1.0.6-2+deb12u2
libnftnl11	1.2.4-2
libnghttp2-14	1.52.0-1+deb12u2
libnice10	0.1.21-1
libnl-3-200	3.7.0-0.2+b1
libnl-genl-3-200	3.7.0-0.2+b1
libnl-route-3-200	3.7.0-0.2+b1
libnm0	1.42.4-1
libnma-common	1.10.6-1
libnma0	1.10.6-1
libnorm1	1.5.9+dfsg-2
libnotify-bin	0.8.1-1
libnotify4	0.8.1-1
libnova-0.16-0	0.16-5
libnpth0	1.6-3
libnsl-dev	1.3.0-2
libnsl2	1.3.0-2
libnspr4	2:4.35-1
libnss-mdns	0.15.1-3
libnss-myhostname	252.36-1~deb12u1
libnss3	2:3.87.1-1+deb12u1
libntfs-3g89	1:2022.10.3-1+deb12u2
libnuma1	2.0.16-1
libnumbertext-1.0-0	1.0.11-1
libnumbertext-data	1.0.11-1
libodfgen-0.1-1	0.1.8-2
libogg0	1.3.5-3
libokular5core10	4:22.12.3-1
libopenal-data	1:1.19.1-2
libopenal1	1:1.19.1-2
libopencc-data	1.1.6+ds1-1
libopencc1.1	1.1.6+ds1-1
libopencore-amrnb0	0.1.6-1
libopencore-amrwb0	0.1.6-1
libopenexr-3-1-30	3.1.5-5
libopengl0	1.6.0-1
libopenh264-7	2.3.1+dfsg-3+deb12u2
libopenjp2-7	2.5.0-2+deb12u1
libopenmpt-modplug1	0.8.9.0-openmpt1-2+b1
libopenmpt0	0.6.9-1
libopenni2-0	2.2.0.33+dfsg-15+b1
libopus0	1.3.1-3
liborc-0.4-0	1:0.4.33-2
liborcus-0.17-0	0.17.2-2+b2
liborcus-parser-0.17-0	0.17.2-2+b2
libotf1	0.9.16-4
libp11-kit0	0.24.1-2
libpackagekit-glib2-18	1.2.6-5
libpagemaker-0.0-0	0.0.4-1
libpam-gnome-keyring	42.1-1+b2
libpam-modules	1.5.2-6+deb12u1
libpam-modules-bin	1.5.2-6+deb12u1
libpam-runtime	1.5.2-6+deb12u1
libpam-systemd	252.36-1~deb12u1
libpam0g	1.5.2-6+deb12u1
libpango-1.0-0	1.50.12+ds-1
libpangocairo-1.0-0	1.50.12+ds-1
libpangoft2-1.0-0	1.50.12+ds-1
libpangomm-1.4-1v5	2.46.3-1
libpangoxft-1.0-0	1.50.12+ds-1
libpaper-utils	1.1.29
libpaper1	1.1.29
libparted-fs-resize0	3.5-3
libparted2	3.5-3
libpcap0.8	1.10.3-1
libpcaudio0	1.2-2
libpci3	1:3.9.0-4
libpciaccess0	0.17-2
libpcre2-16-0	10.42-1
libpcre2-8-0	10.42-1
libpcre3	2:8.39-15
libpcsclite1	1.9.9-2
libperl5.36	5.36.0-7+deb12u1
libpgm-5.3-0	5.3.128~dfsg-2
libphonon4qt5-4	4:4.11.1-4
libphonon4qt5-data	4:4.11.1-4
libpipeline1	1.5.7-1
libpipewire-0.3-0	0.3.65-3+deb12u1
libpipewire-0.3-common	0.3.65-3+deb12u1
libpixman-1-0	0.42.2-1
libplacebo208	4.208.0-3
libplist3	2.2.0-6+b2
libplymouth5	22.02.122-3
libpng16-16	1.6.39-2
libpocketsphinx3	0.8+5prealpha+1-15
libpolkit-agent-1-0	122-3
libpolkit-gobject-1-0	122-3
libpolkit-qt5-1-1	0.114.0-2
libpoppler-cpp0v5	22.12.0-2+b1
libpoppler-glib8	22.12.0-2+b1
libpoppler-qt5-1	22.12.0-2+b1
libpoppler126	22.12.0-2+b1
libpopt0	1.19+dfsg-1
libpostproc56	7:5.1.6-0+deb12u1
libpresage-data	0.9.1-2.5
libpresage1v5	0.9.1-2.5
libproc2-0	2:4.0.2-3
libprotobuf-c1	1.4.1-1+b1
libprotobuf-lite32	3.21.12-3
libproxy-tools	0.4.18-1.2
libproxy1v5	0.4.18-1.2
libpsl5	0.21.2-1
libpulse-mainloop-glib0	16.1+dfsg1-2+b1
libpulse0	16.1+dfsg1-2+b1
libpulsedsp	16.1+dfsg1-2+b1
libpython3-stdlib	3.11.2-1+b1
libpython3.11	3.11.2-6+deb12u5
libpython3.11-minimal	3.11.2-6+deb12u5
libpython3.11-stdlib	3.11.2-6+deb12u5
libqca-qt5-2	2.3.5-2
libqca-qt5-2-plugins	2.3.5-2
libqmi-glib5	1.32.2-1
libqmi-proxy	1.32.2-1
libqmi-utils	1.32.2-1
libqmobipocket2	4:22.12.3-1
libqpdf29	11.3.0-1+deb12u1
libqrencode4	4.1.1-1
libqrtr-glib0	1.2.2-1
libqt5core5a	5.15.8+dfsg-11+deb12u2
libqt5dbus5	5.15.8+dfsg-11+deb12u2
libqt5gui5	5.15.8+dfsg-11+deb12u2
libqt5help5	5.15.8-2
libqt5multimedia5	5.15.8-2
libqt5multimedia5-plugins	5.15.8-2
libqt5multimediagsttools5	5.15.8-2
libqt5multimediaquick5	5.15.8-2
libqt5multimediawidgets5	5.15.8-2
libqt5network5	5.15.8+dfsg-11+deb12u2
libqt5positioning5	5.15.8+dfsg-3+deb12u1
libqt5printsupport5	5.15.8+dfsg-11+deb12u2
libqt5qml5	5.15.8+dfsg-3
libqt5qmlmodels5	5.15.8+dfsg-3
libqt5qmlworkerscript5	5.15.8+dfsg-3
libqt5quick5	5.15.8+dfsg-3
libqt5quickcontrols2-5	5.15.8+dfsg-2
libqt5quickparticles5	5.15.8+dfsg-3
libqt5quickshapes5	5.15.8+dfsg-3
libqt5quicktemplates2-5	5.15.8+dfsg-2
libqt5quickwidgets5	5.15.8+dfsg-3
libqt5sensors5	5.15.8-2
libqt5sql5	5.15.8+dfsg-11+deb12u2
libqt5sql5-sqlite	5.15.8+dfsg-11+deb12u2
libqt5svg5	5.15.8-3
libqt5test5	5.15.8+dfsg-11+deb12u2
libqt5texttospeech5	5.15.8-2
libqt5waylandclient5	5.15.8-2
libqt5waylandcompositor5	5.15.8-2
libqt5webchannel5	5.15.8-2
libqt5webengine-data	5.15.13+dfsg-1~deb12u1
libqt5webengine5	5.15.13+dfsg-1~deb12u1
libqt5webenginecore5	5.15.13+dfsg-1~deb12u1
libqt5webenginewidgets5	5.15.13+dfsg-1~deb12u1
libqt5webkit5	5.212.0~alpha4-30
libqt5widgets5	5.15.8+dfsg-11+deb12u2
libqt5x11extras5	5.15.8-2
libqt5xml5	5.15.8+dfsg-11+deb12u2
libquadmath0	12.2.0-14
libqxp-0.0-0	0.0.2-1+b3
librabbitmq4	0.11.0-1+deb12u1
libraptor2-0	2.0.15-4
librasqal3	0.9.33-2
librav1e0	0.5.1-6
libraw1394-11	2.1.2-2
libraw20	0.20.2-2.1
librdf0	1.0.17-3
libre2-9	20220601+dfsg-1+b1
libreadline8	8.2-1.3
librecode0	3.6-25
libregexp-ipv6-perl	0.03-3
libreoffice-base-core	4:7.4.7-1+deb12u7
libreoffice-calc	4:7.4.7-1+deb12u7
libreoffice-common	4:7.4.7-1+deb12u7
libreoffice-core	4:7.4.7-1+deb12u7
libreoffice-draw	4:7.4.7-1+deb12u7
libreoffice-gtk3	4:7.4.7-1+deb12u7
libreoffice-help-ca	4:7.4.7-1+deb12u7
libreoffice-help-common	4:7.4.7-1+deb12u7
libreoffice-help-cs	4:7.4.7-1+deb12u7
libreoffice-help-da	4:7.4.7-1+deb12u7
libreoffice-help-de	4:7.4.7-1+deb12u7
libreoffice-help-dz	4:7.4.7-1+deb12u7
libreoffice-help-el	4:7.4.7-1+deb12u7
libreoffice-help-en-gb	4:7.4.7-1+deb12u7
libreoffice-help-en-us	4:7.4.7-1+deb12u7
libreoffice-help-es	4:7.4.7-1+deb12u7
libreoffice-help-et	4:7.4.7-1+deb12u7
libreoffice-help-eu	4:7.4.7-1+deb12u7
libreoffice-help-fi	4:7.4.7-1+deb12u7
libreoffice-help-fr	4:7.4.7-1+deb12u7
libreoffice-help-gl	4:7.4.7-1+deb12u7
libreoffice-help-hi	4:7.4.7-1+deb12u7
libreoffice-help-hu	4:7.4.7-1+deb12u7
libreoffice-help-it	4:7.4.7-1+deb12u7
libreoffice-help-ja	4:7.4.7-1+deb12u7
libreoffice-help-km	4:7.4.7-1+deb12u7
libreoffice-help-ko	4:7.4.7-1+deb12u7
libreoffice-help-nl	4:7.4.7-1+deb12u7
libreoffice-help-pl	4:7.4.7-1+deb12u7
libreoffice-help-pt	4:7.4.7-1+deb12u7
libreoffice-help-ru	4:7.4.7-1+deb12u7
libreoffice-help-sk	4:7.4.7-1+deb12u7
libreoffice-help-sl	4:7.4.7-1+deb12u7
libreoffice-help-sv	4:7.4.7-1+deb12u7
libreoffice-help-zh-cn	4:7.4.7-1+deb12u7
